about,abt
account,acc
adieu,+u
alright,aight
anyone,ne1
application,app
approximately,approx
are,r
ate,8
band,b&
be,b
because,bc
before,b4
birthday,bday
boyfriend,bf
busy,bz
computer,puter
create,cr8
cutie,qt
definitely,def
deviate,dv8
easy,ez
energy,nrg
enjoy,njoy
enough,nuff
everyone,every1
excellent,xlnt
favorite,fav
for,4
forever,4ever
forget,4get
girlfriend,gf
great,gr8
hate,h8
in,n
late,l8
later,l8r
library,lib
mate,m8
naturally,natch
newbie,noob
nevermind,nvm
oh,o
okay,k
once,1ce
one,1
picture,pic
please,plz
probably,probly
problem,prob
see,c
seriously,srsly
skate,sk8
skater,sk8r
someone,sum1
text,txt
thanks,thx
to,2
today,2day
tomorrow,2mro
tonight,2nite
too,2
wait,w8
what,wut
why,y
won,1
wonderful,1drfl
you,u
your,ur
